taxi_renavam,taxi_placa,taxi_chassi,taxi_modelo,taxi_marca,taxi_ano,taxi_status
15937391,GOU3347,0OR828ZF18I872810,New,Gilette,2001,1
23064924,KIV6534,4QS415DJ73S248878,Delaware,Roswell,2011,1
37268856,AMO3061,4JP089FU71F094997,Maryland,Boulder,1994,0
55789568,BKJ1498,5OG092SS29O140896,North,Tuscaloosa,2002,0
77707807,CKR8017,1NJ379UV95J379172,District,Dover,1993,1
63216439,UNL0369,1CV309CB06R361144,Virginia,Fort,1994,1
21172552,EOR5089,9CN698CI99J027024,Wisconsin,Zanesville,2000,0
54146788,XLL1781,1LD268FX93E018967,Mississippi,Danbury,1996,1
67620684,LVC2985,7VA251VI49E349777,District,Laguna,2006,1
65867249,LBG6199,1ZN978FQ93D982773,Arkansas,Fond,2016,1
48538307,UPG7806,3MS857JE15C536765,Vermont,Nacogdoches,2002,1
19866581,TXW8151,0TH932IQ60Y487023,Georgia,Houston,1991,1
23351404,PEP0954,4FW314QZ53F363598,Delaware,Council,1991,1
57441990,YKU6183,8YT815ZD11C493544,Missouri,Jackson,1994,1
57105874,EUP7524,8UI874OI07U386709,Hawaii,Middlebury,1996,0
51426270,OBM2143,4PU996AY69Z939839,Virginia,Greenville,2001,1
61633833,VCK7103,5VI090TR21U681691,Pennsylvania,West,2001,1
79663021,SFZ4848,6PY221FV03B793737,Oklahoma,Eau,2017,1
45459393,TJP0182,1EU524TI00Y381333,Texas,Denver,1998,1
25703309,XPY8690,7GR399IA56Y687931,Indiana,Somerville,2002,0
77557744,ZSE5218,3XG569ZU43Y599642,Kentucky,Indio,2017,0
12520241,KEB2846,4FZ121GW97J523643,Washington,Richland,1998,1
84133817,XAZ2588,5DN053EY49J772874,Utah,Oak,2011,0
84757085,CGT5507,5EO598HL14P366510,South,Stafford,2005,1
71549577,JVR4813,8UE084UJ99L854295,Florida,Dover,2017,0
68062507,DKY4356,3GK555CD81P867602,Massachusetts,Rolling,1993,0
41312763,KOC7729,3LK483MM32K871815,Kentucky,Pottsville,2014,0
24520743,ICV1648,9OI681IZ89V369759,Utah,Covina,2003,1
77948249,RRI5417,5ZR078WL70R066296,Arizona,Connellsville,2018,1
61320697,HGE5005,3UQ137WI45X906529,Virginia,Chicago,2010,1
59403584,LBL0029,8BA550VS49X973112,West,West,2000,1
20619525,XTO1803,7MZ614NI42M647194,Delaware,Zanesville,2015,0
67439115,ZVU8461,2XJ361SP27X920482,Utah,San,2014,0
78000716,GPZ7102,8CF591GN59L081338,Vermont,New,2006,1
72245910,FHA9456,2IE540SJ13Z778771,Kansas,Burlington,1998,0
49470330,EQA6681,3CV525GX59J359835,Michigan,Lynwood,1998,0
44187259,IJP8074,8VX536JB63Z935957,Vermont,El,2013,0
48970357,FNY4436,0YH630GF58I314107,Indiana,Farrell,2011,0
65014436,JGR4157,4PR586RR54G859146,Idaho,Santa,1994,1
27581659,PXV4925,4PQ874ZE87L959748,North,Lake,2003,0
22912100,PTZ1615,9FS223NF66D698512,Alaska,Pomona,1996,1
20091433,PIJ2777,0YI828SJ21Y424825,Iowa,Fond,2012,1
78514199,SGD2459,1TK012EH33G336553,Rhode,Medford,1998,1
63634216,NNF4953,8RH052KW88I097534,New,West,1994,0
48659058,PTA4256,3QN283JA87G413297,Utah,Newport,2014,1
51890739,DFP1957,7AC925XX66Y096978,Colorado,Orangeburg,2010,0
35851121,OYR1273,4AP153HO79G027824,New,Parkersburg,1990,1
78299183,FRU3843,0BW747CX85N915681,District,Monterey,1998,0
24393412,XDX3568,1OS330YQ99A254864,Oregon,Ketchikan,2003,1
72887867,VVY2536,1ZU569LR87N879597,Illinois,La,1990,0
53730015,YLJ7136,9UV816AR66H233718,Hawaii,Roanoke,1990,0
68597720,CZA2769,5HS609ER98S257034,Alabama,Carrollton,2006,0
60987268,SWG2607,8PC070SJ23B535934,Maine,Waterloo,2003,0
86279568,WGF4451,8DB644UR46O602037,Tennessee,Stillwater,2012,0
29461989,ASC9947,5KE569CT71X258589,South,Raleigh,2014,1
12624562,UGT2012,6UV777HF19S482220,Michigan,Grand,2008,0
38373069,NBU5279,7ZP183ZO39C840380,Wyoming,Weirton,2007,1
78924898,TJJ6298,0VX609KP57S745765,Montana,Abilene,2013,0
54133125,LQI1703,2NQ246EO44Z853741,Georgia,Rehoboth,1991,1
26474966,OBJ3604,3HU661KP09Z464602,Maryland,Brookings,2018,0
30446020,CSV3878,2QW392TY29U110031,Washington,Melrose,2003,1
72796815,XBD1863,5UV675NJ43R293677,Maryland,Greensburg,2006,1
48334590,WCI3802,3SF007NC44V662707,Arizona,Hampton,2019,0
38981481,KBV0759,3LN692TL54X223158,Virginia,East,1991,0
49090695,IHI3411,2YT920OK34Q809301,New,Fountain,2013,1
69331851,ERM9538,5LB463IV29R371714,New,Durham,2009,1
44770062,XIU9682,1HK660GG11D099479,Idaho,Kingsport,2011,1
74341147,CTF0119,4OE896FP68M922960,Idaho,Lynwood,1993,0
85159809,SRJ7257,0MY725AX69L093697,District,Saint,2009,0
77653413,IJT3053,8QW457SK14M391535,Alaska,La,2005,0
36322363,TAY3013,5LY158YI95M936839,Kansas,Cape,2004,0
76973777,SMO1443,9QR914OV45E291411,Utah,Malibu,1999,0
71936801,ITE9229,7OP415YV22H646199,Montana,Sandy,1992,1
87147938,JSS8090,0RE810LL31D891415,Pennsylvania,Calumet,2001,1
41236328,ENW5839,6WX082VU97J587017,New,Knoxville,1995,0
23484831,LIX2015,6CJ662JK84K732009,Arizona,New,2019,1
60341804,YKI8150,4LG095FZ13J555069,Ohio,Saint,2008,0
55438364,WYL5455,9ZT078IL97F298220,Delaware,Nevada,1991,1
57412133,FFK8301,8ZT564SX08G320213,Tennessee,Passaic,2005,0
36699742,WSP5839,2SV361CW31P035587,Missouri,Rocky,2018,1
44365101,TBW1121,8WN410IW89S322558,Vermont,San,2010,1
86802773,WXI4672,4IP367NC75M102474,South,Tallahassee,2014,0
60289883,TSF7618,9IG696KT75B031882,Montana,Nenana,2019,1
26725695,OFL9039,4LS059OY49S817964,Indiana,Bell,1993,1
37481369,RHK2434,1AT649NV10N311617,Massachusetts,Vicksburg,2003,0
35725063,XFG4869,3WS424OW52U000941,Hawaii,Mandan,2010,0
44012958,ZXJ4757,5MU187NK07D264378,Indiana,Normal,2002,0
54480393,JJU5336,7SO885OB81F230329,Arizona,Riverton,1994,1
49169024,FYP6158,9EC661YL09Z288227,Oregon,Gilette,1996,1
78728583,RLT8830,4AD813DD81P245996,Arkansas,Cape,2002,1
75153913,OGI2126,6MJ799RM09N635151,Virginia,Gilbert,1996,0
44400672,VVB8029,8TG506PL47U589139,Alaska,Ocean,2004,1
52875498,YEC8939,5TT305MV06E727359,Oklahoma,Calumet,1998,1
75138552,ABP8603,3FA807OZ44F204530,Kentucky,Barre,1993,1
12407702,IWQ4763,7EF199TX61W860607,New,Chicago,2010,0
18978243,UAU4172,9EJ234HQ03E789390,Oklahoma,Inglewood,2007,1
31324071,DGZ3739,5GA688UU73L478330,Vermont,Marietta,1992,0
34769676,YTP6079,6QP553ME23V979184,Iowa,Jeffersontown,2005,0
74762692,EDP5003,4OQ190VJ91K778002,Massachusetts,Seward,2003,1
23389511,IBR8930,6AP816KR09L665051,Rhode,Gilbert,2001,1
84747380,LSD2485,9EL442TB78Q126569,Michigan,Fort,2005,1
32895137,ASX6828,1AI619VW38G825708,Hawaii,Greensburg,2006,0
20113692,ULN6747,8AV521PV15V115931,Alabama,Tuscaloosa,1995,1
73509403,LOF3424,6ZL440GL64I909502,New,Sedalia,1991,1
27013792,ORT1525,4MI622MM94A007636,Oregon,Passaic,1998,1
60024322,MOQ4698,6EF397HE66Y973321,District,Plantation,2011,0
48828322,BXZ1511,9ID399GV68K023898,Colorado,Kearney,1996,0
32667499,IWK7893,7XW695HZ44L585969,Delaware,Salinas,2014,1
58907030,RRJ9978,6NY087KW17A499958,Iowa,Gardena,2003,0
71391686,KZJ0863,7BA058RF59A711589,Wyoming,Lynchburg,2017,1
76953129,PAY5138,7AU750YJ81S244068,Illinois,Chicopee,2003,0
63165654,ZHR3726,8VO519CK62Q315981,Massachusetts,Dodge,2011,0
56363777,ZOR6068,2EX946PX77X615179,Alabama,San,1997,1
87259542,EKC2440,9SV362YS89C737976,Wyoming,Bowie,2003,1
67251337,OQO8921,1BA904QK69I136931,Nebraska,Egg,2003,0
64810316,KVW3085,7XG878TG67D920678,Arkansas,New,2002,0
56472584,EXK9143,1WI091AU92L029764,South,Tuscaloosa,2012,1
67525565,SQZ4604,9SU649WQ06X615226,Kentucky,Akron,2018,0
36855329,NXA4426,5UK450JD58G389622,North,Dover,2012,1
40480746,TBX7701,6LM602EP29U233347,Indiana,Taylorsville,1994,0
32213692,TOU9149,9QC675IL13U788292,Missouri,St.,2011,0
36439686,XXH2712,0LH813CF24K791370,Arizona,Basin,2016,0
80140397,WEE2245,4NN276BM35W054815,Massachusetts,Bradbury,1997,0
56689202,PLB9932,7LK051UD53W986560,Tennessee,Grafton,1997,0
23657436,VHD6551,1AI434CP12X149714,West,Fresno,1997,1
14478110,OIY8067,6DI579PQ76R008541,New,Wilkes-Barre,2015,1
44959474,ZZK4341,9DS876XO68F798709,Delaware,Dover,2003,1
64480916,XOC7873,1VX518DD26R030875,Maine,Artesia,1996,1
60307373,CGF0841,1DM766IV62T617331,South,Nevada,2008,0
25069641,PFR6791,5CJ183PO77O237264,Florida,Dearborn,1990,0
19089958,CHP5930,1UM112WA94B479927,Massachusetts,Richland,1996,0
81717096,ZGV0432,8OU177ZB16E272561,Montana,Dana,2014,0
24746473,NXV3480,0GT082YI20S379178,Colorado,Springfield,1996,1
82821520,RDN0810,2LH456MN31T876367,Massachusetts,Greenfield,1992,0
83876805,LZS5663,9WM717AT33D699853,Louisiana,Jeffersonville,2014,1
60064770,TMK9146,5OZ688IM17E475249,Missouri,Klamath,1996,1
47365927,SEW6880,7JN853TM84S627137,Florida,Harrisburg,2005,0
44239781,ZKR9030,1VR049WL61V501846,Texas,Allentown,1996,1
26300021,JPV1559,3NW506OJ37G545068,North,West,2006,1
83880191,OYL3106,3FC045PE40U917042,Oregon,North,1995,1
60559998,CLI6480,6JD152PC27U265527,Arkansas,Santa,2005,0
31594542,AFE1785,3JB408IA38L799430,Rhode,High,1999,1
60639810,TKV1573,9TY339KB69R382399,Colorado,Mount,2012,0
41005656,XTL1384,7CD930CS94A544910,Kansas,Wilkes-Barre,2017,1
45579910,MZL8335,9UO578WD50T605950,Idaho,Roseville,1996,0
82376508,PGX0033,5OW016PY89M002578,Georgia,West,1991,0
84948179,RSQ8435,0VM175TM97U493648,Washington,Somerville,1999,1
63343944,PJI6004,0LI964QD86S351361,North,Fort,2002,0
59785601,TUA0965,5NK471NW63X820053,Kentucky,Monroe,1991,0
49090032,DWF4753,7ZL590SJ11K508550,Washington,Denver,2001,0
17349368,WZF7148,2TL529UI87Y883553,Tennessee,Salt,2000,1
20209450,MYL3054,5AD705KV79J138626,Iowa,Fernley,1999,1
75073208,KCI9174,2UD854LS59J156527,West,Burbank,2018,1
38334526,UDG8792,1XC685YV78J460131,Arizona,Oak,2014,1
39701373,DBK4489,9BR427MF18T397779,Iowa,Provo,2006,0
34545816,SAA5947,0LR233PX60V296574,Rhode,Santa,2013,1
50488762,KNK6743,8DC833HX59Z323787,Iowa,Tallahassee,1996,1
51724262,LNU7032,6OG970PQ05I401100,Montana,Cambridge,2001,0
15116611,FMO2962,4VQ304QI27O274247,Idaho,Sunbury,2017,0
77356081,OKQ2394,3CZ122YL37Y732008,North,Hattiesburg,2005,1
51813129,DAB9188,8PW786WW57N004590,Ohio,West,2017,1
15440435,GUT6121,5YS095UB10I535045,Oklahoma,Idabel,2011,0
21551522,GCH7797,2YK599CU16Q049382,Kansas,Dubuque,2014,0
79936140,ZKV1460,8MI122CH12Y347143,Wyoming,Vallejo,1995,0
71670233,JZH9327,7NV324QE80N366281,South,Hudson,2017,1
34323360,LQZ3263,4PC645BH95A490156,Washington,Walnut,1998,1
22140413,WMK5111,7ED658EC51G686756,Connecticut,Spokane,2018,1
55545865,QFO2446,5TO354VY48L817264,South,Hollister,1995,0
26808199,OPK1543,9EJ695PY40H644319,Pennsylvania,Moultrie,2006,1
75124394,FEW7415,3CY956YM37V095524,West,Broken,1996,1
26283309,WFG6858,6UD227SZ22C469741,Arkansas,Tuscaloosa,1998,0
68337971,UQA3482,1QM841UC76C736013,Arizona,Saipan,2011,0
36125086,KVM7239,5AQ296KB77Q076311,Hawaii,Gallup,1998,0
49850278,ZML5444,2JP740WA53D768706,Arizona,Brunswick,2014,0
24977073,PPW1759,6ZS259SL68R352539,Kentucky,Sun,2004,1
67233687,RQF3655,6AE491BZ22H185193,Mississippi,Cicero,2004,0
27873938,CAX1123,0NM269EO46Z356300,Vermont,Hutchinson,1999,0
79435473,POX4855,1MY761DF89C916920,Tennessee,Agawam,2005,0
38089983,YCU9546,7SG472JG65V847079,California,West,1996,1
70592189,WKD8241,8KE735WA49H287516,Georgia,Newport,2006,0
80940504,SHI6730,2WP537KC83P215178,Oklahoma,Hawthorne,2012,1
73480381,VQA6942,5TB222JB65X401080,Pennsylvania,Lakeland,1998,1
29645049,PCS8865,4LW556CM81E505626,Pennsylvania,Nanticoke,2001,1
77772689,QLA8973,3CT928UL59A715080,New,Norton,1997,0
78272434,LGF6754,3UD840XM49J894912,South,Tucson,2016,0
32699303,PAU3208,7FZ193TZ87T096604,Colorado,Davenport,1999,0
44438528,VTO4582,5VN061LO93I713369,Vermont,Kearney,1997,1
77958362,RNG5251,0QT215KI60N863259,Colorado,Palos,1991,1
70956051,CWF4191,5SY865YH63J179842,Alaska,Manitowoc,2005,1
71984144,PCF3896,2CD482QS86K557047,Nebraska,Gold,1999,0
37376525,IZM2610,4UL725MH84C387677,New,Brigham,1998,1
72233680,BHL7692,4LP072QI25L852439,Tennessee,Appleton,2012,0
37451144,BBS1013,0CO812BU46W980792,Tennessee,Santa,2012,1
73836689,ELI6896,6IF698DY14A344043,Ohio,Two,2010,1
49126087,YHY1203,1YB820YZ33D656589,Alaska,Norwich,2004,0
78187484,PGB6623,5VI207UM25S947808,Texas,Caguas,2009,1
67985533,OWE0169,8MD707RN28N966983,Iowa,Sonoma,1992,0
18524419,ULM5511,7ZO216PZ93P563028,Kansas,Sunnyvale,2003,0
41457175,QKE2387,3HE867VD06Z730735,Colorado,Camden,2001,0
80337417,QYU4722,9YE514FA50F259167,Minnesota,Wausau,2010,1
42143858,BGQ0961,9IO411UI85Y891433,Texas,Yorba,2010,0
15526365,UCQ0355,6JH033DL54M785915,New,Forrest,2004,1
26509556,PCH7800,7LW131XY15U355234,Nevada,Saukville,2004,0
68375350,TRX6040,1CF380IP16E101292,Tennessee,Rocky,2006,0
68396492,LSP4537,9HB876HD79X463201,Minnesota,Inglewood,2005,1
71801151,DML5709,1JE007AM08H745191,Missouri,Murrieta,1995,1
67281948,XLA1193,8RC702GR34R585422,Florida,South,2019,1
42417236,AIQ3266,8RY570WF21L606352,North,Aspen,2008,0
27307496,ZRE7209,8KK087PV81H474991,Alabama,El,1994,0
66957716,ZNP4700,5DR823XE44U801515,Florida,Rapid,1991,1
23268324,IBR1978,4TP780WJ19U177415,South,Sedalia,2004,1
86502267,CNA5326,4IN263PX69T132497,Idaho,Edmond,2017,1
72100092,EHK0807,9BY855GZ91N273235,Tennessee,Elmira,2014,0
23583001,BDY4218,8YV527HV71F031874,Louisiana,Greensburg,1995,0
74276987,XCA6186,7EY148JY24R451056,Florida,Montgomery,1993,0
48925465,DHZ2709,4OB731EA69L802992,Oklahoma,Kearney,2004,0
43718632,SHQ3690,6BB403RY94H190609,Montana,Fredericksburg,2016,0
50171862,INM5652,4PD921WR20Z538391,West,Maywood,2014,0
57719322,DVK7834,1UJ360AV45J305487,Wisconsin,Georgetown,2004,0
40705826,PTO4350,6ZF888LY40W908032,Nevada,Sunnyvale,2016,1
60122154,IWX0573,5PO320LG40A367613,New,Cary,1990,1
24627019,XHB3231,0IX093NO72H456368,Oregon,Peabody,2004,1
62889015,RUY9375,1YW752VJ96H911978,Washington,Tuscaloosa,2004,0
66148055,QMZ1813,3HL081JR76V819601,Hawaii,Barre,1993,0
84945265,FHG1305,1LB909QX36N915872,Hawaii,Ontario,2005,1
39436553,OTP2105,0UZ263CA40P719953,Maryland,Lakewood,2005,0
80993355,THN9488,7FU133RC23L890588,Georgia,Cerritos,1992,0
27695349,GNU8326,8RW915NO44V459953,Colorado,Yorba,1991,1
47676913,IDG8170,1DW617UA47S195590,Pennsylvania,Galveston,2004,1
61242732,EIJ6579,0DM216SR82D334177,New,Waltham,2017,0
87253861,WZQ5492,0LH476XA52H354873,South,Dalton,1993,1
43328106,YNI7521,9GM643MM79J965790,Michigan,Eureka,2008,0
84855116,VJK8959,7OU839IA69C832983,Ohio,Long,1994,1
12882650,GXE9449,6GI483TZ79D198498,Alabama,Norwalk,2013,0
17641341,OGG9649,2MI612OG56B546484,Arizona,Norton,1992,0
21366316,MIJ5804,4GU836DH28U496799,Oregon,Burlington,1994,0
39963115,MSL6417,5GU304AA43V910513,New,Suffolk,2009,1
64149729,ONZ4898,4VG401VG11D446286,Oklahoma,Marshall,2009,0
70012312,QGB9246,3LL390VN90O320538,Montana,Marquette,1999,0
64153228,RSC2203,5ZM001EE18E289659,Pennsylvania,Akron,2018,1
65633301,DDG9871,2WJ723RW05E801148,New,Vincennes,2012,0
71487276,XIO9795,7DB795RO74M815287,Hawaii,Huntsville,1992,0
47223538,UHM9664,7MA268RM73U230134,Kansas,Waycross,2002,1
13072571,ION0657,0HC556KZ13H287094,Connecticut,Williamsport,1993,0
20175318,MSK0233,1CJ666PD60U736165,South,Orange,2009,1
24483230,KBQ0212,4YU442QL24G854601,Nebraska,Middletown,2013,0
61845108,ZIB4230,1XG676JQ88L707224,Michigan,Aguadilla,2016,1
25105857,JTB1841,5II860HM75M189695,Arizona,Somerville,2000,1
13096281,LXQ9666,6QC484IO00B291576,Alabama,Gloucester,2010,1
16346865,KEI5227,3CE226DB08N636502,Kentucky,Scottsbluff,2008,1
36525191,AGI7702,7QN089GO83G091028,New,Dallas,2005,1
79348601,PLA2058,9ZF660AH21L222169,Maine,Kettering,2009,1
56880666,JON9791,9WH070UR65O271891,Alaska,Rochester,1994,0
83883865,PEN2892,9QN064DF17Z412909,Maryland,Fontana,2008,0
70427618,HRR4187,3TX780LU16P367743,South,Brownsville,2005,1
62258909,PMN4786,2DY109OS50F351172,Arizona,West,2002,1
82708560,XTZ4114,7CW038VM91C810672,Texas,Sanford,2006,1
12707694,YTF9556,9TC218OB83Q918619,Delaware,San,1998,1
64374609,XUU8368,6YC106TN05N935524,Tennessee,Easton,2004,0
46424636,TSB2427,3UO363TL30N090902,Nebraska,Dayton,1993,1
66241971,IFO0033,6KZ656GL05W681370,North,Newburyport,2000,1
23887568,MUX3721,0HM624ZN27Z774410,Delaware,Lawton,2017,1
20530028,YXE8004,7EW022KA11D188381,District,Littleton,2008,0
18133652,FGO4605,5XJ233VX95J802569,Mississippi,New,1994,0
14878997,IUN4864,0BW280DY91Y442314,Washington,Rancho,1993,0
60441584,LVC0572,2HJ515QQ19C091087,California,Elko,2010,0
84655168,OPK3591,0WU803AJ36A868419,Delaware,Parker,2001,1
48292938,GXI4373,9LT907AQ40R362264,Tennessee,Sheridan,2000,0
28653777,GWB5537,4ZX905ET70E907123,Arkansas,Wichita,2009,0
16728499,WZN3320,3HJ684JO76O829957,New,Lima,2003,1
20638674,FWS1742,4JS678QQ73W935617,Oklahoma,Charlotte,2007,0
25907165,SRL3459,5XR645JE22X166244,Nebraska,Monongahela,2010,1
51804216,RAM5515,5DU186JN63J813182,Maine,Jeffersonville,2010,1
72896242,MBU2759,1HT285XD82T190048,Virginia,Narragansett,2013,0
27103976,OQB0864,3RA176ZE85E686286,Washington,Logan,1994,1
73152923,BAQ6344,2ET403QM64L589721,Louisiana,Alameda,2014,1
56119282,OYN0619,9EE851QO99N050541,Rhode,Moline,2004,1
37173919,PWN8359,5UP711MY34O084210,Michigan,Pueblo,1998,0
58059217,ZMO7561,7DM615AP67F872381,Utah,Texas,2011,0
24483194,OSL2181,1ZU166DF89O955966,Arkansas,Rocky,1999,0
17658455,ROC5648,7WN881SB16L812996,New,Fontana,1999,1
33037534,MNU2161,7EJ111PU98J583709,Georgia,Williamsburg,2002,0
36763714,LDG5254,4RW589OV19T806819,Arkansas,Chicago,1990,1
76715744,TEE1143,8NS045CH21S701452,Arkansas,Visalia,1997,1
64520771,AHG1936,6CV583MX21D295346,Alabama,Rancho,2006,1
22911745,DDD2382,2YA040CR89F673725,Arizona,Cedar,2009,1
52303319,EWS7736,2YP560VW03A455917,District,Vicksburg,2009,1
83680495,OHB2051,5UF512IG35J911557,Virginia,Carson,2006,0
15955029,DSZ0272,7VW533QU73O053107,Rhode,Bentonville,2001,0
34916961,GUD3336,6YG662AL46R216098,Minnesota,Omaha,1994,1
17047162,GBG3026,8VV906KC16G257997,Hawaii,Moline,1993,1
40525559,NGK7253,2ZF378DS75H771073,Utah,Nashua,2009,1
50471836,PGD6540,0KJ525EM48Z973235,Alabama,Jeffersonville,2007,1
34152690,RDX4576,6FK329AT85H735533,New,Fall,2014,0
13425902,IVG8685,7VN545KF38M711417,Hawaii,Vallejo,2015,0
81456631,GTS2909,0MM293ZY39W260593,Montana,Leominster,1997,1
76316759,QMJ3551,4GQ485YE32N338605,North,East,1994,0
77126842,BKG4296,7RF921HI49X812153,District,Racine,2010,1
21090030,IQM5787,5BW002IL13X348840,Pennsylvania,Oshkosh,2016,1
24692097,HHC1920,6JD942KT81J800420,Washington,Pullman,2002,0
15584582,FPG4720,3GX641KT37X758360,South,Pueblo,1992,0
78482532,BAG5956,8NW454CC78A268244,Kansas,Thomasville,2006,1
68550351,MMD6422,6OA376XP54O151209,Massachusetts,Gainesville,2005,1
17340731,ZAK5903,2TC567SH29Q456043,Wyoming,Oro,2002,1
18596827,ODP2821,3ZI463GL01Q687108,South,Bozeman,1993,0
40584494,MXE7420,8LJ751LK70T683123,Maine,Kemmerer,2000,1
68097615,ZAG6450,8SH732NA87Y141211,Nevada,Brookings,1990,0
82762892,STY3846,3YZ936MJ05T814064,Louisiana,Hanahan,2004,1
66896560,ADA3621,8PS703DE85J997869,New,Charlottesville,1998,0
83888135,NVI4855,4JV043FC15Q985261,District,Albany,2017,1
20971325,XLD0862,6ZC999XP13U503410,Nebraska,Methuen,2013,1
17118942,FAK1420,6CS986FQ37Z096452,Maine,Detroit,2003,1
76240875,VKX3121,1DQ482UY23O113382,Hawaii,Arlington,2005,0
78772515,RBI8460,8UX264DS35E942837,Alabama,Grafton,2005,1
79407529,YWF2113,4EO694KP25E397265,New,North,2011,1
34802078,TWZ1758,7VG396BK19A176016,Wyoming,Gastonia,2019,1
80434188,TTQ3448,5IC434WW10J424235,North,Port,2002,1
16908523,UXI8150,9VJ060OM07O374605,Indiana,Aspen,2016,1
38826469,EWP5129,3XK180XG63K698450,Virginia,Manassas,2018,0
78407390,YTR5518,4QV971CT14N880744,Oregon,Canandaigua,2016,0
21911743,EMH2127,4XK603UY45H612878,Maine,Sherrill,1992,0
18910657,PGA1327,2AV866YN63Q293956,Alabama,Murray,2004,1
39987830,TIS9041,0JV743MS08V130644,Massachusetts,Muncie,2018,0
74220182,CNK8613,9CW100UD74B365700,Missouri,Sunbury,2017,1
73378763,KFY7827,1XK593VU71E357148,Montana,West,2000,0
13436670,XGC5826,3TG260CR17X605952,Wisconsin,Signal,1991,0
29832601,AQP1366,4YU338KY40E252238,Florida,Dothan,2014,1
62365534,IXB5645,8CT796WP51H862968,Pennsylvania,Boulder,2002,1
28345041,TAS3672,3RC331JQ86V238611,New,Santa,2001,1
49726539,EYX7910,2ZP114TQ52C973967,Alabama,Jeannette,2011,0
63460238,XUZ7007,5HN873LR06P807710,Alabama,Rolling,2006,0
41797705,WGF3902,7UG465MX45L133972,Utah,Moreno,1993,1
26578063,LDQ6664,5SG657ZY01A882460,Washington,Green,2019,0
45426259,KRI1276,0CP978YI12F918471,Maine,Beloit,2002,1
65077844,SJK9097,2GH482JK25H657630,Connecticut,Asheville,1994,0
84222857,FLK9412,0OV641TB79F783384,North,York,2014,0
69400098,WOB8007,0JF368GK74Z702437,Wyoming,Boulder,1992,0
52726159,HMV5783,9CS259CV27A032512,New,Cape,2012,0
13885479,FUL6385,1MW131XD60W655568,Michigan,Durango,2018,1
81270805,SQN0403,4TN197TM23B216823,Arkansas,Dodge,2011,0
47778009,DAX5870,5SE314AS17I299586,Ohio,Philadelphia,1990,0
28754719,YLD3145,3BJ690LL19P302371,Oklahoma,Peekskill,2002,0
